property_type,sector,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,luxury_score
flat,48.0,1.01,1443.0,2,2,3,12.0,Under Construction,1.9790441176470588,1,0,0,0,0,2,80
flat,92.0,0.95,1897.0,4,5,3,4.0,Moderately Old,1671.36563876652,0,1,0,0,0,2,37
flat,77.0,0.99,1260.0,2,2,2,1.0,Relatively New,1.9790441176470588,0,0,0,0,0,2,97
flat,37.0,1.1,1725.0,3,3,3,7.0,Under Construction,1519.8237885462554,0,0,0,0,0,2,109
flat,67.0,1.9,2144.0,4,4,3,3.0,New Property,1938.3259911894272,0,0,0,0,0,0,62
flat,37.0,1.0,2315.0,3,3,3,5.0,Under Construction,1651.9823788546255,0,0,0,0,0,2,51
flat,57.0,2.5,2250.0,3,3,3,9.0,Moderately Old,1982.3788546255507,0,0,0,0,0,2,0
flat,3.0,1.1,1057.0,2,2,2,14.0,Under Construction,930.9113867841407,0,0,0,0,0,2,0
flat,95.0,0.29,560.0,2,2,2,14.0,Relatively New,493.3920704845815,0,0,0,0,0,2,50
flat,95.0,0.55,990.0,2,2,3,15.0,Relatively New,990.0,0,0,0,0,0,2,0
flat,92.0,0.65,1370.0,3,2,3,6.0,Relatively New,1207.0484581497797,0,0,0,0,0,2,49
flat,48.0,0.5,532.0,2,2,2,6.0,New Property,629.7646706161138,0,0,0,0,0,2,37
flat,99.0,0.32,580.0,2,2,1,2.0,New Property,1.9790441176470588,0,0,0,0,0,2,43
flat,103.0,0.93,1452.0,2,3,3,3.0,Relatively New,1720.3791469194314,0,1,0,0,0,0,90
flat,89.0,1.2,1423.0,3,3,2,2.0,New Property,1686.0189573459716,0,0,0,0,0,2,44
flat,48.0,0.3,640.0,2,2,2,4.0,Relatively New,758.2938388625593,0,0,0,0,0,2,42
flat,48.0,0.56,822.0,2,2,3,3.0,New Property,973.9336492890995,0,0,0,0,0,2,111
flat,49.0,2.7,2159.0,3,4,3,6.0,Moderately Old,2159.0,0,0,0,0,0,2,0
flat,90.0,1.0,1950.0,3,4,3,8.0,New Property,1718.0616740088103,0,1,0,0,0,2,95
flat,30.0,1.45,1300.0,3,2,2,2.0,Old Property,1300.0,0,0,0,0,0,1,75
flat,89.0,1.25,1423.0,3,3,0,4.0,New Property,1423.0,0,0,0,0,0,2,0
flat,66.0,4.5,4246.0,5,5,3,11.0,New Property,3233.480176211454,0,1,0,0,0,2,105
flat,15.0,0.64,985.0,2,2,1,1.0,New Property,881.0572687224669,0,0,0,0,0,2,0
flat,48.0,0.28,743.0,2,2,1,11.0,Relatively New,743.0,0,0,0,0,0,2,38
flat,61.0,3.87,2250.0,3,4,3,21.0,Under Construction,2250.0,0,1,0,0,0,2,58
flat,109.0,1.38,2177.0,3,3,1,4.0,Moderately Old,2579.383886255924,0,0,0,0,0,2,20
flat,4.0,0.43,650.0,2,2,1,2.0,Relatively New,770.1421800947868,0,0,0,0,0,2,7
flat,1.0,0.28,884.0,2,1,1,2.0,Relatively New,1066.350710900474,0,0,0,0,1,2,15
flat,37.0,1.1,1118.0,2,2,2,4.0,Relatively New,1324.6445497630332,0,0,0,0,0,2,0
flat,65.0,2.0,1433.0,2,2,2,32.0,Relatively New,1433.0,0,0,0,0,0,2,0
flat,48.0,0.9,1120.0,3,2,2,2.0,Under Construction,986.784140969163,0,0,0,0,0,2,144
flat,48.0,0.9,1120.0,3,2,0,2.0,Under Construction,1120.0,0,0,0,0,0,2,0
flat,33.0,1.75,1996.0,3,3,0,2.0,Under Construction,1996.0,0,0,0,0,0,2,0
flat,68.0,0.93,1080.0,2,2,2,11.0,New Property,1279.6208530805688,0,0,0,0,0,2,0
flat,90.0,1.8,2727.0,4,4,3,23.0,Moderately Old,2402.643171806167,0,0,0,0,0,2,0
flat,33.0,2.1,1789.0,3,3,2,6.0,Under Construction,1576.2114537444934,0,0,0,0,0,2,24
flat,22.0,2.0,1380.0,2,2,2,9.0,Relatively New,1635.0710900473937,0,0,0,0,0,2,49
flat,63.0,2.0,1562.0,3,3,2,1.0,Under Construction,1540.0,0,0,0,0,0,2,36
flat,88.0,1.29,1654.0,3,3,3,5.0,New Property,1.9790441176470588,1,0,0,0,1,2,65
flat,65.0,2.85,1828.0,3,3,3,43.0,Under Construction,1828.0,0,0,0,0,0,0,115
flat,79.0,1.1,1950.0,3,3,3,1.0,Relatively New,2310.4265402843603,0,0,0,0,0,0,106
flat,61.0,1.65,1200.0,2,2,2,1.0,Under Construction,1421.8009478672986,1,0,0,0,0,2,16
